date,weekday,month,scheduled_departure,hour,origin,destination,train_type,weather,construction_work,is_rush_hour,is_weekend,delay_minutes,is_delayed
2023-01-01,Sunday,1,2023-01-01 06:51,6,Berlin Hbf,Hamburg Hbf,ICE,snow,False,False,True,3.9,False
2023-01-01,Sunday,1,2023-01-01 07:28,7,Munich Hbf,Frankfurt(Main) Hbf,ICE,snow,False,True,True,14.6,True
2023-01-01,Sunday,1,2023-01-01 13:28,13,Hamburg Hbf,Hannover Hbf,IC,snow,False,False,True,8.4,True
2023-01-01,Sunday,1,2023-01-01 17:16,17,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,rain,False,True,True,1.6,False
2023-01-01,Sunday,1,2023-01-01 17:29,17,Berlin Hbf,Potsdam Hbf,S-Bahn,snow,False,True,True,3.5,False
2023-01-01,Sunday,1,2023-01-01 18:59,18,Munich Hbf,Augsburg Hbf,RE,rain,False,True,True,1.1,False
2023-01-01,Sunday,1,2023-01-01 19:10,19,Leipzig Hbf,Dresden Hbf,RE,clear,False,True,True,0.5,False
2023-01-01,Sunday,1,2023-01-01 19:55,19,Cologne Hbf,Berlin Hbf,ICE,storm,False,True,True,6.4,True
2023-01-01,Sunday,1,2023-01-01 20:03,20,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,rain,False,False,True,2.2,False
2023-01-01,Sunday,1,2023-01-01 21:48,21,Berlin Hbf,Hamburg Hbf,ICE,rain,False,False,True,5.3,True
2023-01-02,Monday,1,2023-01-02 05:25,5,Cologne Hbf,Berlin Hbf,ICE,snow,False,False,False,16.6,True
2023-01-02,Monday,1,2023-01-02 05:58,5,Munich Hbf,Frankfurt(Main) Hbf,ICE,clear,False,False,False,3.2,False
2023-01-02,Monday,1,2023-01-02 06:41,6,Cologne Hbf,Bonn Hbf,RE,snow,False,False,False,6.1,True
2023-01-02,Monday,1,2023-01-02 08:11,8,Munich Hbf,Augsburg Hbf,RE,snow,False,True,False,11.4,True
